,arabic,english
20831,على إسرائيل أن ترفع الحصال الذي فرضته على غزّة.,Israel should lift the blockade it imposed on Gaza.
20832,راشيل كوري أمريكيّة قُتلت في غزّة.,Rachel Corrie was an American who was killed in Gaza.
20833,لقد قضيت أسبوعا مع أسرة فلسطينيّة من غزّة.,I spent a week with a Palestinian family from Gaza.
20834,غزّة هي إحدى الجيوب الأكثر اكتظاظا بالسّكّان في العالم.,Gaza is one of the world's most populous enclaves.
20835,لا يبدو أنّ إسرائيل ليدها استراتيجيّة واضحة لغزّة.,Israel doesn't seem to have a strategy for Gaza.
20836,سكّان غزّة يعيشون تحت حصار خانق.,The people of Gaza are living under a crippling blockade.
20837,هناك الكثير من المهندسين المدنيّين البطّالين في غزّة.,"In Gaza, there are a lot of unemployed civil engineers."
20838,احتلّت إسرائيل الضّفّة الغربيّة و قطاع غزّة عام 1967.,Israel occupied the West Bank and the Gaza Strip in 1967.
20839,غزّة و الضّفة الغربيّة هما أكبر سجنين في العالم.,Gaza and the West Bank are the biggest prisons on Earth.
20840,إنّ الفلسطينيّين يعانون بشكل لا يُحتمل في قطاع غزّة و الضّفّة الغربيّة.,The Palestinians are suffering unbearably in Gaza and the West Bank.
20841,تسبّبت الغارات الإسرائيليّة بجعل 19000 منزل غير قابل للسّكن في قطاع غزّة.,"19,000 homes in Gaza were rendered uninhabitable by Israeli attacks."
20842,أين هي غزّة؟,Where is Gaza?
20843,بموجب القانون الدّولي، يجب أن يُرفع الحصار عن غزّة بدون شروط.,"Under international law, the blockade on Gaza has to be lifted unconditionally."
20844,غزّة هي إحدى المستعمرات الأكثر اكتظاظا و الأكثر فقرا في العالم.,Gaza is one of the most overcrowded and poorest colonies in the world.
20845,إسحاق ناشط سلام إسرائيلي عادة ما يزور أصدقاءه في غزّة.,Yitzhak is an Israeli peace activist who regularly visits his friends in Gaza.
20846,علينا التّرويج للعدالة الحقيقيّة في إسرائيل، الضّفّة الغربيّة و قطاع غزّة.,"We have to promote true justice in Israel, the West Bank, and Gaza."
20847,فلسك,The Palestinians of Gaza are living under an inhuman blockade imposed by Israel.
20848,فلسطينيّو غزّة يعيشون تحت حصار لاإنساني فُرض عليهم من طرف إسرائيل.,The Palestinians of Gaza are living under an inhuman blockade imposed by Israel.
20849,تستعمل إسرائيل آلات متقدّمة تكنولوجيّا لاستهداف مناطق المكتظّة بالسّكّان في غزّة.,Israel uses high-tech killing machines to target densely populated areas in Gaza.
20850,كان بإمكان إسرائيل أن تغمر الأنفاق المحفورة بين غزّة و مصر بالمياه بدون أن تبيد تلك المنطقة الفلسطينيّة.,Israel could have flooded the Gaza-Egypt tunnels without annihilating the Palestinian enclave.
20851,إسرائيل تعلم ما سفعله بالضّفّة الغربيّة لكن لا يبدو أنّها تعلم ما ستفعله بغزّة.,Israel knows what to do with the West Bank but not really with Gaza.
20852,حصار إسرائيل على غزّة قطع الفلسطينيّين عن بقيّة العالم.,Israel's blockade on Gaza has cut off Palestinians from the rest of the world.
20853,على نيتانياهو أن يُحاسَب على ما حدث في غزّة يوم 14 ماي 2018.,"Netanyahu has to be held accountable for what happened in Gaza on May 14, 2018."
20854,إسحاق يعارض معارضة تامّة الهجمات العسكريّة الكبرى التي يقوم بها الجيش الإسرائيلي في غزّة.,Yitzhak is totally opposed to the massive military offensives led by the IDF in Gaza.
20855,سكّان غزّة و الضّفّة الغربيّة لا يمثّلون إلاّ نصف الشّعب الفلسطيني.,The people of Gaza and the West Bank are only half of the Palestinian people.
20856,العقوبات الجماعيّة أمر مؤلوف جدّا في الضّفّة الغربيّة و أمر دائم في قطاع غزّة.,Collective punishment is very common in the West Bank and it is permanent in the Gaza Strip.
20857,من من المفروض استقبال فلسطينيّي الضّفّة الغربيّة و غزّة إن تمّ طردهم؟,Who is supposed to receive the Palestinians of the West Bank and Gaza if they were expelled?
20858,من وجهة نظر عسكريّة، فإنّ غزّة منطقة عزلاء و لهذا يختارها الجيش الإسرائيلي لإبراز عضلاته.,"Militarily speaking, Gaza is utterly defenseless. That's why the IDF chooses this area to flex its muscles."
20859,دولة صغيرة في الضّفّة الغربيّة و قطاع غزّة لن تكون أبدا حلاّ عادلا للمأساة الفلسطينيّة.,A small state in the West Bank and the Gaza Strip would never be a just solution to the Palestinian tragedy.
20860,عندما عبّرت جون ريفرز عن دعمها لإسرائيل، لم تُبدِ أيّ تعاطف حين سُئلت عن مدينيّي غزّة الذين كانوا يُقتلون بالمئات.,"When Joan Rivers expressed her support for Israel, she showed no sympathy when asked about Gaza's civilians who were killed by the hundreds."
20861,بما أنّه لا يمكن اجتناب مقتل الآلاف من النّاس في عزّة، فإنّ كلّ هجوم واسع يُشنّ على هذه المنطقة يُعتبر إبادة جماعيّة.,The death of thousands of people in Gaza is inevitable and that's what turns any massive attack on that enclave into a genocide.
20862,هل بإمكان غزّة أن تنجو من هجوم واسع آخر؟,Can Gaza survive another massive attack?
20863,لا ينبغي أن نتحدّث عن غزّة. لنتحدّث عن الأقداد.,We shouldn't be talking about Gaza. Let's just talk about hamsters.
20864,لوّحت ليلى لتلك الطّائرة لكن لم يرها أحد.,Layla waved at the plane but nobody saw her.
20865,كانت ليلى تلوّح و تصرخ.,Layla was waving and yelling.
20866,كان سامي يلوّح بكشّاف بشكل محموم.,Sami was frantically waving a flashlight.
20867,كان سامي يحاول ركوب موجة.,Sami was trying to catch a wave.
20868,رأى سامي تلك المروحيّة فأخذ يلوّح بيديه.,Sami saw the helicopter and waved his arms.
20869,ابتسم سامي و لوّح.,Sami smiled and waved.
20870,حاول سامي التّلويح بيده.,Sami tried to wave his arm.
20871,لوّح سامي بيديه.,Sami waved his arms.
20872,كان سامي يلوّح لليلي بينما كانت راحلة بسيّارتها.,Sami waved to Layla as she was driving away.
20873,هل ممنوع أن نتحدّث عن الفلسطينيّين أيضا؟,"Is it forbidden to talk about the Palestinians, too?"
20874,دخل سامي إلى المسجد.,Sami entered the mosque.
20875,غادر سامي المسجد.,Sami left the mosque.
20876,ذهب سامي إلى المسجد.,Sami went to the mosque.
20877,دخل سامي إلى المسجد.,Sami went into the mosque.
20878,زار سامي العديد من المساجد.,Sami visited many different mosques.
20879,نحن ذاهبون إلى المسجد.,We're going to the mosque.
20880,دعى سامي فريد للدّخول إلى المسجد.,Sami invited Farid into the mosque.
20881,عاد سامي إلى المسجد.,Sami came back to the mosque.
20882,كان سامي يقطن بجوار مسجد.,Sami lived next to a mosque.
20883,كان سامي يسكن بجوار مسجد.,Sami lived next to a mosque.
20884,المسيحيّون لا يذهبون إلى المساجد.,Christians don't go to mosques.
20885,دخل سامي المسجد في السّادسة.,Sami entered the mosque at six.
20886,زار سامي العديد من المساجد في مصر.,Sami visited many mosques in Egypt.
20887,تبرّع سامي بأراضيه للمسجد.,Sami donated his lands to the mosque.
20888,تصدّق سامي بأراضيه للمسجد.,Sami donated his lands to the mosque.
20889,أوصل سامي ليلى إلى المسجد.,Sami dropped Layla off at the mosque.
20890,ذهبا ليلى و سامي إلى المسجد معا.,Layla and Sami went to the mosque together.
20891,في المسجد، جلس سامي على الأرض.,"In the mosque, Sami sat on the floor."
20892,جلس سامي في المسجد على الأرض.,"In the mosque, Sami sat on the floor."
20893,لا يعزف المسلمون الموسيقى في المساجد.,Muslims don't play music at the mosque.
20894,لا يذيع المسلمون الموسيقى في المساجد.,Muslims don't play music at the mosque.
20895,أقلّ سامي ليلى إلى المسجد.,Sami dropped Layla off at the mosque.
20896,يذهب سامي إلى المسجد خمس مرّات في اليوم.,Sami goes to the mosque five times a day.
20897,كان سامي إمام المسجد الوحيد في المدينة.,Sami was the imam of the only mosque in town.
20898,زار سامي المسجد النّبوي بالمدينة المنوّرة في المملكة العربيّة السّعوديّة.,"Sami visited the Prophet's mosque in Medina, Saudi Arabia."
20899,كان هناك أكثر من ألف رجل في ذلك المسجد.,There were more than a thousand men in the mosque.
20900,حضرا سامي و ليلى صلاة الجمعة في مسجد في القاهرة.,Sami and Layla attended the Friday prayer at a mosque in Cairo.
20901,حضرا سامي و ليلى صلاة الجمعة في إحدى مساجد القاهرة.,Sami and Layla attended the Friday prayer at a mosque in Cairo.
20902,جلس سامي في مؤخّرة المسجد و استمع إلى القرآن.,Sami sat in the back of the mosque and listened to the Quran.
20903,جلس سامي في المسجد و قرأ بعض السّور من القرآن الكريم.,Sami sat in the mosque and read a few chapters of the Quran.
20904,الكافيار عبارة عن بيض أسماك.,Caviar is fish eggs.
20905,أكل سامي قرابة اثني عشر بيضة.,Sami ate a dozen eggs.
20906,أكل سامي حوالي اثنى عشر بيضة.,Sami ate a dozen eggs.
20907,أكل سامي ما يقارب الإثني عشر بيضة.,Sami ate a dozen eggs.
20908,ما رأيك في بعض البيض و البيكون؟,How about some eggs and bacon?
20909,ماذا قال له مدير المدرسة؟,What did the principal tell him?
20910,جمال عنده موعد مع عميد الكلّيّة.,Jamal has an appointment with the college principal.
20911,لدى جمال موعد مع عميد الجامعة.,Jamal has an appointment with the college principal.
20912,لدى جمال موعد مع عميد الكلّيّة.,Jamal has an appointment with the college principal.
20913,سمعت ليلى سامي يتحدّث عن اغتيال مدير المدرسة.,Layla heard Sami talking about killing the principal.
20914,أُرسِل سامي إلى مكتب مدير المدرسة.,Sami was sent to the principal's office.
20915,كان عند سامي اجتماع مع أمّه و مدير المدرسة.,Sami had a meeting with his mom and the principal.
20916,سامي يصنع عطره بنفسه.,Sami makes his own perfume.
20917,سامي يحبّ الموسيقى الكلاسيكيّة.,Sami likes classical music.
20918,سامي يحبّ موسيقى الكاونتري.,Sami loves country music.
20919,سامي يحبّ الموسيقى البطيئة.,Sami loves slow music.
20920,سامي يحبّ الموسيقى الصّوتيّة.,Sami loves acoustic music.
20921,سيبدأ الفيلم الموسيقي قريبا.,The musical is starting soon.
20922,ما هذه الموسيقى الغريبة؟,What's this strange music?
20923,أطفئ هذه الموسيقى فورا.,Turn this music off immediately.
20924,كان سامي يحبّ الحياة كفنّان موسيقي.,Sami liked the music life.
20925,كان سامي يحبّ الحياة الفنّيّة الموسيقيّة.,Sami liked the music life.
20926,سامي يستمع للموسيقى المسيحيّة.,Sami listens to Christian music.
20927,كان سامي يريد أن يُخرج أفلاما موسيقيّة.,Sami wanted to make musicals.
20928,سامي هو من كان يعزف تلك الموسيقى.,Sami was playing the music.
20929,كان سامي يستمع للموسيقى.,Sami was listening to music.
20930,سامي لا يستمع إلّا للموسيقى الكلاسيكيّة.,Sami only listens to classical music.
20931,ما نوع هذه الموسيقى؟,What kind of music is this?
20932,عمل سامي في محلّ للموسيقى.,Sami worked for a music store.
20933,نشأ سامي و هو يستمع لموسيقى الكاونتري.,Sami grew up on country music.
20934,غادر سامي قبل انتهاء الموسيقى.,Sami left before the music stopped.
20935,"شاهد سامي فيلم ""البؤساء"" الموسيقي.",Sami watched the musical Les Miserables.
20936,إن جودة الموسيقى تزداد سوءا كلّ عام.,Music is getting worse every year.
20937,واصل سامي بناء مشواره الفنّي في موسيقى الهيبهوب.,Sami continued building his hiphop musical career.
20938,كان سامي فخورا جدّا بفرقته الموسيقيّة.,Sami was very proud of his music group.
20939,كان لسامي الحقّ في الاستمتاع بموسيقاه.,Sami had the right to enjoy his music.
20940,سأكلّمه بموضوع الموسيقى الصّاخبة.,I'll talk to him about the loud music.
20941,كانا سامي و ليلى يتسكّعان معا و يعزفان الموسيقى.,Sami and Layla were hanging out and playing music.
20942,لا يزال سامي يعمل في ذلك المطعم.,Sami still works in that restaurant.
20943,أُغلق مطعم سامي.,Sami's restaurant was shut down.
20944,كان سامي يعمل في ذلك المطعم.,Sami used to work at the restaurant.
20945,اتّصل سامي بكلّ مطعم في المدينة.,Sami called every restaurant in the city.
20946,عمل سامي في مطعم للأكل الخفيف.,Sami worked in a fast-food restaurant.
20947,اتّصل سامي بمطعمه و طلب بعض الأكل.,Sami called his restaurant and ordered some food.
20948,ربح سامي ثروة صغيرة بمطعمه الشّهير للمأكولات البحريّة.,Sami built a small fortune with his popular seafood restaurant.
20949,عمل سامي في مطعم أبيه و هو يقشّر البطاطا لساعات طويلة.,"Sami worked at his father's restaurant, peeling potatoes for hours on end."
20950,لا بدّ من أنّه مطعم غال جدّا!,It must be a very expensive restaurant!
20951,ادعنا للعشاء في مطعم.,Invite us to dinner at a restaurant.
20952,هل تذهب عادة إلى المطاعم؟,Do you often go to a restaurant?
20953,ذهبت لوري للأكل في مطعمها المفضّل.,Laurie went to her favourite restaurant to eat.
20954,التقيت البارحة ببرنارد في مطعم.,I ran into Bernard yesterday in a restaurant.
20955,"أين تناولت الغذاء؟ ""في مطعم.""","Where did you have lunch? ""At a restaurant."""
20956,كان أبي يأكل في ذلك المطعم.,My father used to eat in that restaurant.
20957,أذهب إلى مطعم كلّ يومين.,I go to a restaurant every other day.
20958,التّدخين ممنوع في جميع أجزاء المطعم.,Smoking is prohibited in every section of the restaurant.
20959,ذهبوا لتناول العشاء في مطعم راق.,They went out for dinner at an upscale restaurant.
20960,سأذهب إلى مطعم ياباني.,I'm going to drive to a Japanese restaurant.
20961,التقيا في مطعم في الضّفّة اليسرى.,They met in a restaurant on the Left Bank.
20962,في العديد من المطاعم في تركيا، يقدّم الكباب كمقبّل رئيسي.,"In many restaurants in Turkey, kebab is the main entree."
20963,"أين أكلت الغذاء؟ ""أكلت في مطعم.""","Where did you eat lunch? ""I ate at a restaurant."""
20964,سام هو من سرق الألماس.,It was Sam who stole the diamond.
20965,يوشك الجسر على الانهيار.,The bridge is about to collapse.
20966,كان مايك الشّخص الوحيد الذي نجى من سقوط الطّائرة.,Mike was the only person who survived the plane crash.
20967,هناك بعض المستثقطنين يعيشون في ذلك المنزل المتداعي.,There are some squatters living in that dilapidated house.
20968,انهار المنزل.,The house collapsed.
20969,حلّت تلك العمارة محلّ العديد من المنازل.,The building replaced several houses.
20970,هي تملك منزلا ضخما.,She owns a gigantic house.
20971,مرّ على المنزل.,He passed by the house.
20972,المنزل معزول بشكل مناسب.,The house is suitably isolated.
20973,المنزل معزول بشكل ملائم.,The house is suitably isolated.
20974,تحطّمت الطّائرة على المنزل.,The plane crashed into the house.
20975,أنا لا أسخّن منزلكم.,I'm not heating your house.
20976,بالرّغم من أنّ هذا الفيلم سيّء، سأستمتع بمشاهدته لأنّي مع أصدقائي.,"Although the film is bad, I will enjoy it because I'm with friends."
20977,هل بإمكانك تفسير ما تريده؟,Can you explain what do you want actually?
20978,شكرا لإضافتي للمجموعة.,Thank you for adding me to the group.
20979,أحبّك كثيرا بما فيه اليوم.,"I love you so much, including today."
20980,من سيصدّقه؟,Who's gonna believe him?
20981,كان عليك أن تراه.,You must have seen him.
20982,كان سامي ملطّخا بالدّم.,Sami had blood on him.
20983,سامي طلّقته زوجته.,Sami's wife divorced him.
20984,هل بإمكاني تقبيله حين أودّعه؟,Can I kiss him goodbye?
20985,اربط يديه خلفه.,Tie his hands behind him.
20986,قال سامي أنّ الأمر أقلقه.,Sami said that concerned him.
20987,زوج أمّ سامي أساء معاملته.,Sami's stepfather abused him.
20988,كان سامي يعلم من هجم عليه.,Sami knew who attacked him.
20989,كان سامي يحمل مخدّرات معه.,Sami had drugs on him.
20990,أحضر سامي ليلى معه.,Sami brought Layla with him.
20991,اعتقد سامي أنّ ليلى هي من هجمت عليه.,Sami believed Layla attacked him.
20992,يعتقد سامي أنّ ليلى تخلّت عنه.,Sami believes Layla abandoned him.
20993,يعتقد سامي أنّ ليلى تركته.,Sami believes Layla abandoned him.
20994,سمع سامي أحدا يتحرّك خلفه.,Sami heard somebody behind him.
20995,أنا خائف جدّا منه.,I'm so afraid of him.
20996,أنا أخافه جدّا.,I'm so afraid of him.
20997,لا أريد أن أراه.,I don't wanna see him.
20998,لنخبره بما حدث.,Let's tell him what happened.
20999,كان سامي يشعر بفراغ في نفسه.,Sami had that emptiness inside him.
21000,كان سامي يشعر بفراغ بداخله.,Sami had that emptiness inside him.
21001,كان فاضل يريد أن تتزوّج به ليلى.,Fadil wanted Layla to marry him.
21002,اعتقد سامي أنّ ليلى كانت تؤذيه.,Sami believed Layla was hurting him.
21003,هل بإمكاني تسليم الصّك له؟,Can I give him the check?
21004,هل بإمكاني أن أسلّمه الصّك؟,Can I give him the check?
21005,هل بإمكاني أن أعطيه الصّك؟,Can I give him the check?
21006,هل بإمكاني أن أقدّم له الصّك؟,Can I give him the check?
21007,لم يكن إلاّ سوانا.,There was just me and him.
21008,بدأت ليلى تتحدّث معه.,Layla started to talk to him.
21009,بدأت ليلى تتكلّم معه.,Layla started to talk to him.
21010,كان سامي يسيطر على النّاس من حوله.,Sami dominated the people around him.
21011,كان سامي يسيطر على من حوله.,Sami dominated the people around him.
21012,وضع سامي كلّ هذا خلفه.,Sami put all that behind him.
21013,كان سامي يريد أن تحبّه ليلى.,Sami wanted Layla to love him.
21014,لم أره بعد ذلك.,I didn't see him anymore.
21015,لم أره مجدّدا بعد ذلك.,I didn't see him anymore.
21016,كان سامي يريد أن تتزوّج به ليلى.,Sami wanted Layla to marry him.
21017,توسّل سامي لليلى كي تساعده.,Sami begged Layla to help him.
21018,شكر سامي ليلى على مساعدتها.,Sami thanked Layla for helping him.
21019,طلب سامي من الله أن يساعده.,Sami asked God to help him.
21020,دعى سامي لله كي يساعده.,Sami asked God to help him.
21021,طلب سامي من الله أن يساعده.,Sami asked God to protect him.
21022,دعى سامي لله كي يساعده.,Sami asked God to protect him.
21023,حمد سامي الله على حمايته.,Sami thanked God for protecting him.
21024,شكر سامي الله على حمايته.,Sami thanked God for protecting him.
21025,ظنّ سامي أنّ ليلى أحببته.,Sami thought that Layla liked him.
21026,ظنّ سامي أنّ ليلى كانت معجبة به.,Sami thought that Layla liked him.
21027,أظنّ أنّي أخفته.,I think I scared him away.
21028,سامي بحاجة لأحد يساعده.,Sami needs someone to help him.
21029,أراد سامي أن تسامحه ليلى.,Sami wanted Layla to forgive him.
21030,كان سامي بحاجة لكي يقدّره النّاس.,Sami needed people to appreciate him.
21031,هل يسكنون بالجزائر؟,Do they live in Algeria?
21032,هل يعيشون في الجزائر؟,Do they live in Algeria?
21033,هل يقطنون في الجزائر؟,Do they live in Algeria?
21034,تفطّنت ليلى لوجود سامي.,Layla noticed Sami's presence.
21035,كان الجميع في البلدة يحبّ فاضل.,Everybody in the community loved Fadil.
21036,يعش فاض في بلدة صغيرة.,Fadil lives in a small community.
21037,كنّا قليقين بشأن البلدة.,We were concerned for the community.
21038,كنّا قليقين بشأن أهل البلدة.,We were concerned for the community.
21039,كان سامي يعيش في حيّ سكني.,Sami lived in a bedroom community.
21040,كان سامي يعيش في مجمّع مسوّر.,Sami lived in a gated community.
21041,كان سامي يعيش في مجمّع مسيّج.,Sami lived in a gated community.
21042,كان فاضل مكرّسا حياته للكنيسة و أهل الحي.,Fadil was devoted to church and community.
21043,كان سامي مكرّسا حياته للكنيسة و أهل البلدة.,Fadil was devoted to church and community.
21044,كان فاضل شخصا محترما في البلدة.,Fadil was well respected in the community.
21045,كان فاضل شخصا محترما في الحي.,Fadil was well respected in the community.
21046,كان فاضل شخصا محترما عند أهل البلدة.,Fadil was well respected in the community.
21047,كان فاضل شخصا محترما عند أهل الحي.,Fadil was well respected in the community.
21048,نشأت ليلى في مجتمع محافظ.,Layla was raised in a conservative community.
21049,نشأت ليلى في بلدة محافظة.,Layla was raised in a conservative community.
21050,كان سامي عمودا في مجتمعه.,Sami was a pillar in the community.
21051,كان سامي بمثابة عمود عند أهل البلدة.,Sami was a pillar in the community.
21052,كانت ليلى بمثابة عمود عند أهل البلدة.,Layla was a pillar of the community.
21053,أذهلت جريمة سامي جميع أهل البلدة.,Sami's crime stunned all the community.
21054,أذهلت جريمة سامي جميع أهل الحي.,Sami's crime stunned all the community.
21055,كان سامي بمثابة عمود لأهل البلدة.,Sami was a pillar of the community.
21056,كان سامي بمثابة عمود لأهل الحي.,Sami was a pillar of the community.
21057,كان سامي محبوبا جدّا عند أهل البلدة.,Sami was well liked in the community.
21058,كان سامي محبوبا جدّا عند أهل الحي.,Sami was well liked in the community.
21059,كان سامي محبوبا جدّا في البلدة.,Sami was well liked in the community.
21060,كان سامي محبوبا جدّا في الحي.,Sami was well liked in the community.
21061,ولد سامي في بلدة ريفيّة.,Sami was born in a rural community.
21062,ولد سامي في مجتمع ريفي.,Sami was born in a rural community.
21063,حتّى سامي يعيش في مجمّع مسوّر.,Sami also lives in a gated community.
21064,حتّى سامي يعيش في مجمّع مسيّج.,Sami also lives in a gated community.
21065,الكثير من مجتمعات الهنود الحمر بحاجة لأطبّاء و مدرّسين.,Many Native American communities need doctors and teachers.
21066,إنّ دان لا يخدم المجتمع.,Dan is doing a disservice to the community.
21067,انضمّ فاضل إلى جامعة حكوميّة في فيلاديلفيا.,Fadil enrolled in a community college in Philadelphia.
21068,كان الدّكتور صادق بطلا في البلدة.,Dr. Sadiq was a superstar in the community.
21069,كان الدّكتور صادق بطلا في الحي.,Dr. Sadiq was a superstar in the community.
21070,كان الدّكتور صادق بطلا عند أهل البلدة.,Dr. Sadiq was a superstar in the community.
21071,كان الدّكتور صادق بطلا عند أهل الحي.,Dr. Sadiq was a superstar in the community.
21072,سرعان ما أصبحت ليلى عمودا للمجتمع.,Layla quickly became a pillar of her community.
21073,سرعان ما أصبحت ليلى عمودا لأهل البلدة.,Layla quickly became a pillar of her community.
21074,سرعان ما أصبحت ليلى عمودا لأهل الحي.,Layla quickly became a pillar of her community.
21075,لقد روّع اغتبال ليلى الوحشي أهل تلك البلدة الهادئة.,Layla's brutal murder horrified the quiet community.
21076,لقد روّع اغتيال ليلى الوحشي أهل ذلك الحي الهادئ.,Layla's brutal murder horrified the quiet community.
21077,تركت وفاة ليلى أهل البلدة مصدومين.,Layla's death left the community in shock.
21078,كان سامي عمدة البلدة الصّغيرة.,Sami was the mayor of the small community.
21079,كان سامي زعيما محترما في البلدة.,Sami was a respected leader in the community.
21080,كان سامي زعيما محترما في الحي.,Sami was a respected leader in the community.
21081,كان فاضل فردا محترما جدّا عند أهل البلدة.,Fadil was a highly regarded member of the community.
21082,كان فاضل فردا محترما جدّا عند أهل الحي.,Fadil was a highly regarded member of the community.
21083,لقد أحدثت وفان سامي هلاعا وسط أهل البلدة.,Sami's death put the community into a panic.
21084,لقد أحدثت وفاة سامي هلاعا وسط أهل الحي.,Sami's death put the community into a panic.
21085,الزّبيب هو عنب مجفّف.,A raisin is a dried grape.
21086,من الممكن أن تربح المسابقة.,It is possible that you'll win the competition.
21087,لقد سحق تلك الحشرة بكعبه.,He crushed the insect with his heel.
21088,كفّ عن إلقاء الملابس في كلّ مكان على الأرض.,Stop leaving clothes all over the floor.
21089,كفّ عن ترك الملابس مبعثرة في كلّ مكان على الأرض.,Stop leaving clothes all over the floor.
21090,لقد وُلد ذلك الجرو بدون ذيل.,The puppy was born without a tail.
21091,كان الجرو يلحس خدّها.,The puppy licked her cheek.
21092,كانت الجروة تلحس خدّها.,The puppy licked her cheek.
21093,عليك أن تعوّضه المال الذي خسره.,You must compensate him for the money he lost.
21094,هل عليك أن تعمل يوم الأحد؟,Must you work on Sunday?
21095,كان إسمها أغنس آنذاك.,Her name was Agnes then.
21096,لا يمكنني أن أخبرك كم أحبّك.,I can't tell you how much I love you.
21097,أظنّ أنّ هذا الفلم يستحقّ المشاهدة مرّتين.,I think it is worthwhile to see this film twice.
21098,هناك الكثير من النّاس و السّيّارات في ذلك الشّارع.,There are many people and cars on that street.
21099,تصالحا سامي و ليلى في الوقت المناسب بتزامنه مع فترة عيد الميلاد.,Sami and Layla got back together just in time for Christmas.
21100,عاد سامي إلى محلّه للبيتزا.,Sami returned to his pizza joint.
21101,كانت ليلى تعمل في ناد للتّعرّي.,Layla worked at a strip joint.
21102,كانت مخمرة سامي بمثابة ناد للتّعرّي.,Sami's bar was basically a strip joint.
21103,كانت ليلى تعمل في ناد للتّعرّي يدعى ألوها.,Layla worked at a strip joint called Aloha.
21104,كان سامي يخطّط لعمليّة اختطاف.,Sami was planning a kidnapping.
21105,أحبّ تأمّل النّجوم.,I like stargazing.
21106,كان سامي يحبّ الأبطال خارقين.,Sami liked superheroes.
21107,كان سامي يحبّ الكوكايين.,Sami liked cocaine.
21108,أُعجب سامي بليلى.,Sami liked Layla.
21109,أحبّ سامي ليلى.,Sami liked Layla.
21110,سامي يحبّ هذا.,Sami likes that.
21111,كان سامي يحبّ الأحذية.,Sami liked shoes.
21112,سامي يحبّ أشرطة الهنتاي المرسومة.,Sami likes hentai.
21113,سامي يحبّ القهوة.,Sami likes coffee.
21114,كان فاضل يحبّ القمار.,Fadil liked to gamble.
21115,كان سامي يحبّ الشّجار.,Sami liked to fight.
21116,كانت ليلى حقّا معجبة بسامي.,Layla really liked Sami.
21117,نظّف سامي حذاءه.,Sami cleaned his shoes.
21118,خلعت ليلى حذاءها.,Layla took her shoes off.
21119,يستطيع سامي ربط حذائه.,Sami can tie his shoes.
21120,سامي سيتطيع ربط حذائه.,Sami can tie his shoes.
21121,يعرف سامي كيف يربط حذاءه.,Sami can tie his shoes.
21122,سامي يعرف كيف يربط حذاءه.,Sami can tie his shoes.
21123,ضاع حذاء سامي.,Sami's shoes were missing.
21124,كان حذاء سامي ضائعا.,Sami's shoes were missing.
21125,خلع سامي حذاءه.,Sami took his shoes off.
21126,فحص سامي حذاءه للتّأكّد من عدم وجود عقارب.,Sami checked his shoes for scorpions.
21127,كان سامي مرتديا جواربه لكنّه لم يكن مرتديا حذاءه.,Sami had on socks but no shoes.
21128,يحتاج سامي لحذاء جديد.,Sami needs a new pair of shoes.
21129,سامي بحاجة لحذاء جديد.,Sami needs a new pair of shoes.
21130,وضعت ليلى المال في علبة أحذية.,Layla put the money in a shoe box.
21131,عُثِر على حذاء سامي في صندوق نفايات.,Sami's shoes were found in a dumpster.
21132,كان الحذاء الذي أعطيته لسامي صغيرا عليه.,The shoes I gave Sami were too small for him.
21133,أُرغِم سامي على خلع ملابسه و حذائه.,Sami was forced to take off his clothes and shoes.
21134,بدّل سامي ملابسه.,Sami changed his clothes.
21135,غيّر سامي ملابسه.,Sami changed his clothes.
21136,كانت ملابسنا دائما نظيفة.,Our clothes were always clean.
21137,كان سامي قد أعدّ ملابسه.,Sami had packed clothes already.
21138,كان سامي قد حزم ملابسه.,Sami had packed clothes already.
21139,ارتدى سامي ملابس نسويّة.,Sami dressed in female clothing.
21140,إنّ هذه الملابس تناسبك بشكل رائع.,These clothes suit you fabulously.
21141,كانا سامي و فريد يتبادلان الملابس.,Sami and Farid swapped clothes.
21142,خلع سامي ملابسه.,Sami took his clothes off.
21143,لديّ بعض الملابس لك.,I have some clothes for you.
21144,أحضر فاضل بعض الملابس لدانية.,Fadil brought some clothes for Dania.
21145,رأى سامي ملابس ليلى هناك.,Sami saw Layla's clothes there.
21146,ارتدى سامي الملابس التي عادة ما يرتديها للعمل.,Sami wore his regular work clothes.
21147,بدأ سامي يخلع ملابسي.,Sami started taking my clothes off.
21148,لماذا هذه الملابس مبعثرة؟,Why are these clothes lying around?
21149,كان سامي يريد أن يشتري ملابسا لليلى.,Sami wanted to buy Layla clothes.
21150,بدأ سامي يخلع ملابس ليلى.,Sami started taking Layla's clothes off.
21151,كان سامي يرتدي ملابس نسويّة طوال الوقت.,Sami dressed in female clothing full time.
21152,استحمّت ليلى و غيّرت ملابسها.,Layla took a shower and changed clothes.
21153,استحمّت ليلى و بدّلت ملابسها.,Layla took a shower and changed clothes.
21154,لم لا تغيّر ملابسك؟,Why don't you change your clothes?
21155,لم لا تبدّل ملابسك؟,Why don't you change your clothes?
21156,كان سامي يبدّل ملابسه كلّ يوم.,Sami changed clothes on a daily basis.
21157,كان سامي يغيّر ملابسه كلّ يوم.,Sami changed clothes on a daily basis.
21158,تخلّص سامي من ملابسه الملطّخة بالدّماء.,Sami got rid of his bloody clothes.
